Rechtspraak.nl,"/_layouts/15/init.js?rev=0%2BjgcYFw8Xoj0N42kzP%2BcQ%3D%3D,/ScriptResource.axd?d=mJyo7VAd-lzFWcSAg2RJnF6tgSQMDtSx9HWbU0NfxstBDF9HF4feM3NZYln_Kqyrp37No6wQgb7PZ5-YzzGAa-4fntgCOUs8pja2JhH7JBQd46SDeX0hKnzgmsk9RajkwaX26aXxAHuHiTeiBLUPguHtKnmoZeDS5wC6XpqB65osb1HngGdWlnDBbipphuks0&t=5f9d5645,/_layouts/15/blank.js?rev=ZaOXZEobVwykPO9g8hq%2F8A%3D%3D,/ScriptResource.axd?d=LriSOr4zi4rZUaIBtNFR3_VmbzjRMG5xGuF4U7Uaysj3zHsSJOioRboGQKRDAqQw37S3amg1p20Lsf4q0be-_y5cwjuKji20VWf81itA8POwFMnJ_mlXGDA_v2rcmgOuSkGmuynZaoDpENcaB6Eo13z4mZWONNiaXF0hTFJ2UfEL_9npVU1Yl-EJSE2P29W50&t=5f9d5645,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,/Style%20Library/Rechtspraak/js/JSBundle.min.js,None,/Style%20Library/Rechtspraak/js/Webtrends.js,/_layouts/15/ScriptResx.ashx?culture=nl%2Dnl&name=SP%2ERes&rev=4vZzkEnkqmd%2B5vfPiBsVYg%3D%3D,/_layouts/15/sp.init.js?rev=jvJC3Kl5gbORaLtf7kxULQ%3D%3D,/_layouts/15/1043/initstrings.js?rev=G%2BPOVQMVe8bQhnSY9aceAA%3D%3D,/_layouts/15/1043/strings.js?rev=NSvbF7mTxEvnrOLekxTooA%3D%3D,/_layouts/15/core.js?rev=3zugmoZrYIuHbXImSVi4Gw%3D%3D,/_layouts/15/sp.ui.dialog.js?rev=0xf6wCIW4E1pN83I9nSIJQ%3D%3D,/_layouts/15/sp.runtime.js?rev=5f2WkYJoaxlIRdwUeg4WEg%3D%3D,/_layouts/15/sp.js?rev=38t1tBEEonTR8ozTCV4YrA%3D%3D,None,/WebResource.axd?d=jNEOF-R0-HdNw6d4ybSpv3Zc78fZPdeYd6r9hrCDQtcPEmqzf9N0GDn3ynf980pw6jaQVSMB8QIomx65IHw9jsMIKvV5qsIBvagUsyTmAk41&t=635802997220000000,None,/_layouts/15/blank.js?rev=ZaOXZEobVwykPO9g8hq%2F8A%3D%3D,None,None,None,None,None,/Style%20Library/Rechtspraak/js/rnl.js,None,None,None,None,None,None,None,https://stats.a-rechtspraak.nl/dcs2wctdb10000kvdjb6ngiil_5n8y/wtid.js,None"
Vergelijk.nl,"//connect.facebook.net/nl_NL/sdk.js,//www.googletagmanager.com/gtm.js?id=GTM-TFF56D,//www.google-analytics.com/analytics.js,None,//static1.vergelijk.nl/s/3.71/js/cg.scripts.3rd-party.all.js,None,//static2.vergelijk.nl/s/3.71/js/cg.scripts.all.js,//static3.vergelijk.nl/s/3.71/js/showads.js,//static3.vergelijk.nl/s/3.71/js/cg.scripts.home.all.js,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None"
Neckermann.nl,"https://bam.nr-data.net/1/db89e40b45?a=12834693&v=952.3a19e93&to=b1YHbEMEDBUFBUALW1YcJGthSgMWFElYA01XRhFLHgsUCEsOWw9RVFIcV0QRTAcXFkw%3D&rst=8555&ref=https://neckermann.nl/&ap=1883&be=4539&fe=3873&dc=1594&tt=9AB28149898DE334&af=err,xhr,stn,ins&perf=%7B%22timing%22:%7B%22of%22:1467541747685,%22n%22:0,%22f%22:301,%22dn%22:301,%22dne%22:326,%22c%22:326,%22ce%22:326,%22rq%22:423,%22rp%22:455,%22rpe%22:2524,%22dl%22:2375,%22di%22:5926,%22ds%22:6017,%22de%22:6227,%22dc%22:8408,%22l%22:8408,%22le%22:8430%7D,%22navigation%22:%7B%7D%7D&jsonp=NREUM.setToken,https://vmss.boldchat.com/aid/5202905059732673190/bc.vms4/vms.js,https://js-agent.newrelic.com/nr-952.min.js,//www.google-analytics.com/analytics.js,//www.google-analytics.com/analytics.js,//www.google-analytics.com/analytics.js,//tdn.r42tag.com/tags-104/prod?s=nececw2%7Chome%7CDirectSales%7Cgeneral&scp=104&u=https%3A%2F%2Fneckermann.nl%2F&r=&cb=1467541752633,None,None,/app/upload/scripts_37981/out/jquery-personalized.min.js,None,None,https://ssl.synovite-scripts.com/ca-9-neckermann.js,None,None,/app/upload/scripts_37981/out/ecom-general.min.js,/%7E/media/Files/script/accordeon/accordeon.ashx,//tdn.r42tag.com/data/segment/104/75cff8b6-e20b-40d7-bcd3-867cac8afde7/cached-3600/104_10,//tdn.r42tag.com/lib/ut/104/48/tag-permissions-92f9f8d2-5465-4a11-ab0a-72e2a68858cf.js,//a.svtrd.com/s/104/p/73,/%7E/media/Files/script/redesign/contactpage.ashx,https://vms.boldchat.com/aid/5202905059732673190/bc.pv?script=true&securevm=true&blur=false&vm=true&poll=65000&swidth=2560&sheight=1600&sdpi=192&url=https%3A%2F%2Fneckermann.nl%2F&wdid=2575817425186896550&idid=1097521661172377681&1467541756572&_bcvm_vrid_=true&&hasbutton=false&scbdid=5151953140589982366,0.31924989699127326,None,/WebResource.axd?d=hM0Olg-UKP6EJu2R4F5mjhOcU8YdcC33-ZaCsj2XxksMCKHMCG-NAxJqH9NXjANaVJeuErpqRGRZOGIjJsZQCXjeggs1&t=635690443356617801,/app/upload/scripts_37981/debug/msajax/microsoftajax.js,/app/upload/scripts_37981/debug/msajax/microsoftajaxwebforms.js,/ScriptResource.axd?d=uMaxkfZKDn8wvIU8WkwaxqdxSOwrLPNfOh-ie4gLLKtrFAegzoGit9ZfpCyruvjeYNFR_PmqSAdEEZe0neIOkU5HblLmIGhACc12phKR_p85nFjspbyHL6Wq79WXVD1Hsvh52BJ8d2dPdJhAfqG0ISmyrG77emb51d2wbqPwWhpswuCwQ5AKXYa-h1nf9pqYhe-ffw2&t=5854e822,None,/app/upload/scripts_37981/out/ecom-common-components.min.js,/app/upload/scripts_37981/out/shadowbox-nl.min.js,/app/upload/scripts_37981/out/ecom-searchbrowse-components.min.js,/Personalization.asmx/js,/BookingAvailability.asmx/js,/SearchOffers.asmx/js,/SearchBrowse.asmx/js,/EnhancedSearchAndBrowse.asmx/js,None,None,//adserver.adtech.de/addyn/3.0/1244/4918927/0/154/ADTECH;loc=100;target=_blank;grp=653;misc=1467541752316,None,None,//adserver.adtech.de/addyn/3.0/1244/3323249/0/225/ADTECH;loc=100;target=_blank;grp=[group];misc=1467541753126,%7E/media/Files/script/leaderboard_fix.ashx,/%7E/media/Files/script/accept_cookie/check_ipad.ashx,/%7E/media/Files/script/redesign/headerfix.ashx?cb=8,/%7E/media/Files/script/redesign/searchboxtoheadermin.ashx,/%7E/media/Files/script/redesign/jqueryhoverIntent.ashx,/%7E/media/Files/script/redesign/subnavmin.ashx,None"
Exactonline.nl,"http://www.google-analytics.com/ga.js,None"
Nu.nl,"None,None,None"
Bodyenfitshop.nl,"http://bam.nr-data.net/1/2a3d0c60cf?a=6177755&v=952.3a19e93&to=MlwGbEADVkJWVkcLXAsWIk1cAUxYWFscA0MVSkpeXgNMQVZSVkxFDFwTSwgyWVZSfVIMVwlcFg%3D%3D&rst=2862&ref=http://www.bodyenfitshop.nl/&ap=650&be=827&fe=1860&dc=410&af=err,xhr,stn,ins&perf=%7B%22timing%22:%7B%22of%22:1467541995176,%22n%22:0,%22f%22:1,%22dn%22:1,%22dne%22:35,%22c%22:30,%22ce%22:30,%22rq%22:62,%22rp%22:750,%22rpe%22:819,%22dl%22:761,%22di%22:1091,%22ds%22:1236,%22de%22:1448,%22dc%22:2686,%22l%22:2686,%22le%22:2777%7D,%22navigation%22:%7B%7D%7D&jsonp=NREUM.setToken,http://js-agent.newrelic.com/nr-952.min.js,http://dnn506yrbagrg.cloudfront.net/pages/scripts/0013/0160.js?407650,//doug1izaerwt3.cloudfront.net/fff77f3bb06c74f82b477b6f1f1cc79bd1da9154.1.js,//i.kissmetrics.com/i.js,//connect.facebook.net/en_US/all.js#xfbml=1,//connect.facebook.net/en_US/fbevents.js,http://www.google-analytics.com/ga.js,None,None,/jsi18n/menu/,//www.bodyenfitshop.nl/static/CACHE/js/630b755b7206.js,None,//www.bodyenfitshop.nl/static/core/js/ga_settings.js,None,None,None,None,//dev.visualwebsiteoptimizer.com/j.php?a=123804&u=http%3A%2F%2Fwww.bodyenfitshop.nl%2F&r=0.5929305573837454,None,https://robincontentdesktop.blob.core.windows.net/javascript/robin-storage.js,http://a.adroll.com/j/roundtrip.js,https://d.adroll.com/pixel/7BJZUBCEDJDH3KFBILWZIW/PMUKVFFMBFD2FE47W3WNZA?pv=98489803643.36629&cookie=&adroll_s_ref=&keyw=,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,https://robincontentdesktop.blob.core.windows.net/external/robin/knhk464p.js,None"
Vakantiediscounter.nl,"http://bam.nr-data.net/1/2299d53658?a=3021188&v=952.3a19e93&to=IgtWTEoMXFpVEx8LWgwBSFlfBh9fXgVVGw%3D%3D&rst=2519&ref=http://www.vakantiediscounter.nl/&ap=249&be=460&fe=1952&dc=116&af=err,xhr,stn,ins&perf=%7B%22timing%22:%7B%22of%22:1467541849615,%22n%22:0,%22f%22:1,%22dn%22:1,%22dne%22:26,%22c%22:26,%22ce%22:26,%22rq%22:47,%22rp%22:367,%22rpe%22:388,%22dl%22:367,%22di%22:573,%22ds%22:574,%22de%22:576,%22dc%22:2409,%22l%22:2409,%22le%22:2436%7D,%22navigation%22:%7B%7D%7D&jsonp=NREUM.setToken,http://js-agent.newrelic.com/nr-952.min.js,//connect.facebook.net/en_US/fbevents.js,http://www.google-analytics.com/analytics.js,//www.googletagmanager.com/gtm.js?id=GTM-T9WTKD,None,None,http://www.google-analytics.com/ga_exp.js?utmxkey=16076487-69&utmx=&utmxx=&utmxtime=1467541850019,None,None,None,None,None,None,None,None,None,None,//static.vakantiediscounter.nl/javascripts/main.js?1bdbdb6994,None,None,None,None"
Vakantieveilingen.nl,"http://www.google-analytics.com/plugins/ua/linkid.js,http://www.google-analytics.com/plugins/ua/ec.js,//www.google-analytics.com/analytics.js,//tdn.r42tag.com/tags-1070/prod?s=home&u=http%3A%2F%2Fwww.vakantieveilingen.nl%2F&r=&cb=1467491459469,//tdn.r42tag.com/lib/1070-v1.js,None,None,/__ssobj/core.js,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,/combine/19517f9b0dad6eea/javascript/general.js,None"
Bndestem.nl,"//www.google-analytics.com/analytics.js,//tdn.r42tag.com/tags-475/prod?s=Home&scp=35&p=vwoEnabled%3Afalse&p=vwoAccountId%3A46207&p=criteoCustomerId%3A825&p=ligatusDomain%3Abndestem.nl&p=chartbeatUID%3A46966&p=chartbeatDomain%3Abndestem.nl&p=chartbeatSections%3Ahome&p=chartbeatAuthors%3A&p=chartbeatPageTitle%3A&u=http%3A%2F%2Fwww.bndestem.nl%2F&r=&cb=1467541783170,None,None,http://www.synovite-scripts.com/ca-9-site-475.js,/static/default/js/jquery/jquery.js,http://www.synovite-scripts.com/lib/adInjector-min.js,//tdn.r42tag.com/lib/ut/475/16/tag-permissions-e342aed4-708c-4e1c-9b97-de8f0cb2325c.js,None,None,None,http://www.mensenlinq.nl/static/js/regiooverledenen.js,http://www.mensenlinq.nl/mensenlinq/overlijdennl/site/advertentie/jsregio/jsoverledenen.js?t=815301&blad=BS,http://maxcdn.bootstrapcdn.com/bootstrap/3.3.5/js/bootstrap.min.js,//lightwidget.com/widgets/lightwidget.js,None,/static/default/js/behaviour.js?v=5881ab697403286ef5dcc2ecfad6c7d9,None"
Vodafone.nl,"//tags.tiqcdn.com/utag/tiqapp/utag.v.js?a=vodafone/nl-breakthrough/201606270913&cb=1467491546842,//load.trusted-code.com/code-vod2.js,//load.trusted-code.com/code.js,None,None,/_assets/js/environment/env.js?v=322111497,None,/_assets/js/common-min.js?v=322111497,//tags.tiqcdn.com/utag/vodafone/nl-breakthrough/prod/utag.js,None,/_assets/js/core/shop/order-cart.js?v=322111497,/_assets/js/core/shop/product-utils.js?v=322111497,/_assets/js/core/shop/product-listing-utils2.js?v=322111497,/_assets/js/core/shop/product-listing2.js?v=322111497,/_assets/js/core/shop/product-filter.js?v=322111497,/_assets/js/util/pre-banner.js?v=322111497,/_assets/js/pages/index.js?v=322111497,/_assets/js/core/ticker.js?v=322111497,/_vendors/timecircles/TimeCircles.js?v=322111497"
